id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,sublunar_lat,sublunar_lon,angular_distance,dist_minus_2h,dist_rate_of_change,moon_ra_minus_6h,moon_ra_minus_12h,moon_altitude,distancia_real_km,A_norm,tau,sigma_n,delta_cfs
usp000f114,2006-12-26 12:26:21.140000+00:00,21.799,120.547,10.0,7.1,"30 km SW of Hengchun, Taiwan",earthquake,2454096.0183002315,350.92605,-3.80682,0.00247943356241,-3.80682,69.4718760210634,56.12172535682207,0.00247983730655,-0.2018720700000011,344.67415,347.80741,33.1518233701164,367394.0161761992,0.9242198331976976,0.773779424069093,0.505418344506096,0.9759467618715314
usp000gs2d,2009-01-03 19:43:50.650000+00:00,-0.414,132.885,17.0,7.7,"140 km WNW of Manokwari, Indonesia",earthquake,2454835.3221140048,3.06815,6.06698,0.00257491128175,6.06698,-36.45589919106322,167.95360215635682,0.00257785967305,-1.474195649999897,357.26142,0.14938,-78.02216605720746,391422.19426378066,0.7642495260859539,0.15860719456296707,-0.7476102567216892,-0.14043690812570864
usp000gxkj,2009-05-28 08:24:46.560000+00:00,16.731,-86.217,19.0,7.3,"46 km NW of Guanaja, Honduras",earthquake,2454979.850538889,122.49203,20.19232,0.00243793382045,20.19232,110.2814738201614,139.679234189842,0.00243628294332,0.8254385649999422,114.93635,118.74815,-50.286393744881316,369584.7424619983,0.9078820252992386,0.580091684768519,-0.6983862893298152,0.3007371690365929
usp000h1ys,2009-09-29 17:48:10.990000+00:00,-15.489,-172.095,18.0,8.1,2009 Samoa Earthquake,earthquake,2455104.241793866,317.01983,-14.88878,0.00269390535906,-14.88878,41.3514588148816,135.11163471632045,0.00269486980125,-0.4822210949999468,311.22702,314.1354,-45.66612201807683,407531.7571203951,0.6771535329601717,0.4732208507529339,-0.4843541406998723,0.27947919447298497
usp000h5np,2010-01-03 22:36:25.640000+00:00,-8.783,157.354,10.0,7.1,"94 km SE of Gizo, Solomon Islands",earthquake,2455200.441963426,148.3435,9.48022,0.00242256745545,9.48022,65.79457245480518,92.96218849723437,0.00242070928498,0.9290852349998212,141.39871,144.8966,-3.8211030601550853,362779.0054727484,0.9599421954813353,0.9578082351013839,-0.0639718956847323,0.932219476827491
usp000h60h,2010-01-12 21:53:10.060000+00:00,18.443,-72.571,13.0,7.0,"10 km SE of Léogâne, Haiti",earthquake,2455209.4119219906,265.93625,-25.60109,0.00268085289276,-25.60109,-174.63899732310068,108.39481284095964,0.00267945212946,0.7003816499999773,259.18857,262.56978,-19.118583125481642,403083.73636983125,0.6998189413794672,0.6612188416512634,-0.22920775326947268,0.5695357403434743
usp000he3f,2010-06-16 03:16:27.550000+00:00,-2.174,136.543,18.0,7.0,"121 km SSE of Biak, Indonesia",earthquake,2455363.6364299767,135.59497,13.94856,0.00244723164546,13.94856,-177.81340442190617,48.01995250474644,0.00244694950695,0.1410692549998985,128.52933,132.08449,41.106124150496306,361887.298258265,0.967055722073343,0.7286698365256599,0.6357963816604046,0.9829883891898217
usp000hr97,2010-12-21 17:19:40.660000+00:00,26.901,143.698,14.0,7.4,"Bonin Islands, Japan region",earthquake,2455552.22199838,94.79491,23.19489,0.00250750681585,23.19489,104.70325168740936,35.38483767842283,0.00250951080955,-1.0019968499999383,87.29703,91.04643,54.20420742946403,369941.65636829217,0.9052568286730398,0.5294830119189771,0.7342599443986971,0.8231869896784559
usp000hrw0,2010-12-25 13:16:37+00:00,-19.702,167.947,16.0,7.3,"141 km W of Isangel, Vanuatu",earthquake,2455556.053206018,149.27923,7.81393,0.00246283746931,7.81393,-143.8234792014047,54.86582162131896,0.00246284001358,-0.0012721349999886,142.57942,145.94265,34.214935451032765,364817.0006124668,0.9439441829418779,0.7805795638313425,0.53077882874007,0.9928910953273705
usp000ht15,2011-01-13 16:16:41.540000+00:00,-20.628,168.471,9.0,7.0,"118 km NNE of Tadine, New Caledonia",earthquake,2455575.178258565,32.44292,17.73018,0.00265740630683,17.73018,35.47068076503609,135.6634826941773,0.00265973951695,-1.1666050600000772,26.38258,29.39017,-46.162810998037536,402109.7835312914,0.7049163766367563,0.48823318993713694,-0.508463814144626,0.28484766427928654
usp000j48h,2011-07-06 19:03:18.260000+00:00,-29.539,-176.34,17.0,7.6,Kermadec Islands region,earthquake,2455749.2939613424,172.95391,-2.66185,0.00247178821288,-2.66185,-37.28735409594918,129.31115311666215,0.00247204570151,-0.1287443149998891,166.43825,169.69352,-40.12912753527496,373846.8717923709,0.8771831219879245,0.6706888186953985,-0.5653554085506327,0.4445466552751455
usp000jdar,2012-01-10 18:36:59.080000+00:00,2.433,93.21,19.0,7.2,off the west coast of northern Sumatra,earthquake,2455937.2756837965,128.93748,14.30485,0.00255028319571,14.30485,99.99304409122772,13.630955654923769,0.00255212147202,-0.9191381550000768,122.30336,125.62866,76.09115565076601,375341.7463421124,0.8667441294921874,0.20834611837514572,0.8413306608980677,0.5448783827343728
usp000jhr6,2012-04-12 07:15:48.500000+00:00,28.696,-113.104,13.0,7.0,"69 km ENE of San Luis, Mexico",earthquake,2456029.802644676,278.63287,-20.42163,0.00249845878071,-20.42163,-31.215485822704807,92.95491481309703,0.00249546953407,1.4946233199998864,271.21217,274.94595,-4.075464904018604,374155.50123012706,0.875014227382342,0.872801585894006,-0.06218753719536472,0.8479265710158601
usc000f1se,2013-02-06 01:23:19.760000+00:00,-11.183,164.882,10.0,7.1,"112 km WSW of Lata, Solomon Islands",earthquake,2456329.5578675927,259.14785,-20.68768,0.00244961968339,-20.68768,101.9632167067436,60.900565625395885,0.00245049334737,-0.4368319900000406,251.44654,255.28993,28.4073757106867,363388.01487277617,0.9551239193324317,0.8401149059201335,0.4543882108195048,1.0218701902479355
usc000f1ts,2013-02-06 01:54:14.610000+00:00,-10.499,165.588,8.8,7.0,"33 km NW of Lata, Solomon Islands",earthquake,2456329.579335764,259.47965,-20.68659,0.00244940127177,-20.68659,94.54531446692464,68.7031404825293,0.00245026437578,-0.431552005000042,251.77588,255.62073,20.548150522802274,364143.4373170093,0.9491919744242043,0.8888020549557061,0.33316108929140176,1.0220664906722667
usb000jyiv,2013-09-24 11:29:47.970000+00:00,26.951,65.5009,15.0,7.7,"113 km NW of Bela, Pakistan",earthquake,2456559.9790274305,60.1488,18.46196,0.00265762590278,18.46196,-115.76539217644444,134.57043015215928,0.00265546816322,1.0788697800000364,53.72104,56.93632,-45.181812178697484,402072.44710442086,0.7051127703687652,0.49700537745649975,-0.5001696449370326,0.2969375194816867
usb000kdb4,2013-10-15 00:12:32.050000+00:00,9.8796,124.1167,19.04,7.1,"4 km SE of Sagbayan, Philippines",earthquake,2456580.5087042823,331.90619,-6.40348,0.0024987420507,-6.40348,-54.92639282153039,176.39716439689693,0.00249765886252,0.5415940900000207,325.21883,328.57419,-86.33775337318602,380152.70649784035,0.8342520054836108,0.053287635840988994,-0.8325483989053758,-0.27973172372116134
us20002926,2015-04-25 06:11:25.950000+00:00,28.2305,84.7314,8.22,7.8,"67 km NNE of Bharatpur, Nepal",earthquake,2457137.757939236,117.20255,15.96679,0.00264814506847,15.96679,171.39875364358068,79.66748728465419,0.00264560643196,1.2693182549999675,110.80372,114.02026,9.218209065722034,395091.1885307614,0.7431551431220668,0.7335575944439492,0.11904966351227596,0.7811774598488596
us20002das,2015-05-07 07:10:19.590000+00:00,-7.2175,154.5567,10.0,7.1,"143 km SW of Panguna, Papua New Guinea",earthquake,2457149.798837847,263.32318,-18.29779,0.00256926587786,-18.29779,-69.07198970660937,129.96641544950265,0.00257114180224,-0.9379621900001012,256.41714,259.86069,-40.87505574258269,388495.26955725165,0.7816535678186525,0.5910383133843369,-0.5115232274251358,0.38642902241428256
us20002ejl,2015-05-12 07:05:19.730000+00:00,27.8087,86.0655,15.0,7.3,Nepal,earthquake,2457154.7953672456,333.12655,-7.76557,0.00246931228251,-7.76557,-2.9440299010502144,92.74476612847504,0.00247057819217,-0.6329548299999818,326.247,329.69016,-3.5169443782668086,369736.9806909758,0.9067610328861267,0.9050533303520829,-0.055624095312364535,0.8828036922271371
us20002yaw,2015-07-18 02:27:33.820000+00:00,-10.4012,165.1409,11.0,7.0,"80 km WNW of Lata, Solomon Islands",earthquake,2457221.6024747686,139.81253,11.90136,0.00266989753198,11.90136,167.3307780850788,22.40844036035548,0.00266828100754,0.8082622199999824,133.69244,136.76726,67.2853783688254,393527.62953579443,0.7520484683756754,0.2903970916309738,0.6937192717219777,0.567884800319765
us10006d5h,2016-08-12 01:26:36.280000+00:00,-22.4765,173.1167,16.37,7.2,southeast of the Loyalty Islands,earthquake,2457612.5601421297,242.80352,-15.81564,0.00268455910018,-15.81564,-99.78097351650727,81.42300941823616,0.00268596834708,-0.7046234499999849,236.70693,239.74266,7.478892122819355,400730.49635896075,0.7122202815800409,0.7061613383189801,0.09270325645574547,0.7432426409012782
us20006uy6,2016-08-29 04:29:57.860000+00:00,-0.0456,-17.8255,10.0,7.1,north of Ascension Island,earthquake,2457629.6874752315,119.03272,16.96131,0.00255294273887,16.96131,73.726917285768,91.49818145848262,0.0025511449017,0.8989185849999932,112.05508,115.55746,-2.6748862635657096,382159.46496257774,0.8211786678722697,0.8202839334254186,-0.038323271423494364,0.8049546248560209
us2000brlf,2017-11-19 22:43:29.250000+00:00,-21.3246,168.6715,10.0,7.0,"85 km ENE of Tadine, New Caledonia",earthquake,2458077.4468663195,252.85126,-17.94659,0.00270578237053,-17.94659,-147.16808155795724,41.59876726073858,0.00270498333274,0.399518894999987,246.67987,249.7603,47.56548292728953,400059.4215271725,0.7158104129317785,0.48299102725788434,0.5283031467348428,0.6943122859518215
us1000c2zy,2018-01-10 02:51:33.290000+00:00,17.4825,-83.52,19.0,7.5,"203 km NNE of Barra Patuca, Honduras",earthquake,2458128.619135301,212.80712,-7.77159,0.0026431241542,-7.77159,60.33292713548824,143.49017594507325,0.00264051593606,1.3041090700001423,206.88013,209.8463,-54.27380152264457,400550.160139958,0.7131826849954065,0.4164362669229152,-0.5789735553274983,0.18484684479191588
us1000i2gt,2018-12-05 04:18:08.420000+00:00,-21.9496,169.4266,10.0,7.5,"166 km ESE of Tadine, New Caledonia",earthquake,2458457.6792641203,226.50313,-12.43964,0.00258679245795,-12.43964,88.04751576359467,77.50904741221188,0.00258494682948,0.9228142349999424,220.16862,223.33047,11.821424172188799,385626.156330863,0.7992305364988134,0.7822795399130462,0.16373201246431218,0.8477723448987711
us70003kyy,2019-05-14 12:58:25.939000+00:00,-4.051,152.5967,10.0,7.6,"48 km NE of Kokopo, Papua New Guinea",earthquake,2458618.040577997,178.41855,5.81189,0.00246778867112,5.81189,111.83110844300307,41.887439168832415,0.00246756136608,0.1136525199999915,171.71835,175.07782,47.71074769431672,364439.6545840311,0.9468793398538927,0.6371302613963227,0.7004609298563319,0.9173146333388554
us70004jyv,2019-07-14 09:10:51.523000+00:00,-0.5858,128.034,18.98,7.2,"155 km SSE of Sofifi, Indonesia",earthquake,2458678.8825407755,261.85945,-20.98502,0.00261384795562,-20.98502,-167.80367091772086,65.76018492679783,0.00261194038677,0.9537844250001506,255.11216,258.48129,23.11115040652943,388485.80863371067,0.7817106768139467,0.7189745854614421,0.3068340393526541,0.8417082012025038
us60007idc,2020-01-28 19:10:24.918000+00:00,19.4193,-78.756,14.86,7.7,"123 km NNW of Lucea, Jamaica",earthquake,2458877.2988995137,354.14937,-7.96674,0.00270580403608,-7.96674,-60.97139119981961,32.51053905151369,0.00270514840139,0.3278173450001111,348.54546,351.35908,56.95621628482364,399429.319595524,0.7192033441741915,0.39216702892233835,0.6028751709081793,0.6333170972856101
us6000dg77,2021-02-10 13:19:55.530000+00:00,-23.0511,171.6566,10.0,7.7,southeast of the Loyalty Islands,earthquake,2459256.05550382,309.87736,-22.33899,0.00254704445213,-22.33899,-30.941658891982343,129.56330541039043,0.0025451847848,0.9298336650000876,302.65569,306.28948,-40.480188070981015,385144.3814139569,0.8022335486207771,0.6102032959669468,-0.5207980454300492,0.4018840777949271
us6000f65h,2021-08-14 12:29:08.454000+00:00,18.4335,-73.4822,10.0,7.2,"Nippes, Haiti",earthquake,2459441.020236736,215.49354,-11.4245,0.00248304365769,-11.4245,65.06046690925163,139.4237469920351,0.00248389016192,-0.4232521149999304,208.97796,212.21839,-50.34570117375489,376338.1973341994,0.8598775667182326,0.5487342344465675,-0.6620273179345456,0.2839233072727493
us6000gc2a,2021-12-14 03:20:23.809000+00:00,-7.6033,122.2274,14.27,7.3,Flores Sea,earthquake,2459562.639164456,26.378,7.73208,0.00267684563515,7.73208,-106.7424040552888,131.49622057213946,0.00267505867311,0.8934810199999477,20.866,23.62006,-42.458874416355094,404718.44499996357,0.6913731771320967,0.5100689061996322,-0.4667189528892526,0.32338132504393113
us7000gymk,2022-03-31 05:44:01.146000+00:00,-22.586,170.3744,10.0,7.0,southeast of the Loyalty Islands,earthquake,2459669.738902153,359.4843,-4.83733,0.00255658665431,-4.83733,84.89540047146647,83.97817895351898,0.0025546506151,0.9680196049999776,353.42574,356.47004,5.281813377838808,381821.71858638676,0.8233597553732628,0.819863743476092,0.07579398987840527,0.8501813394274541
us7000irfb,2022-11-22 02:03:06.891000+00:00,-9.8198,159.6033,14.0,7.0,"18 km SW of Malango, Solomon Islands",earthquake,2459905.585496424,212.72899,-12.37707,0.00250085048458,-12.37707,120.90395719207515,38.03013993225663,0.00250375313673,-1.4513260750000871,206.3718,209.52259,51.65803272589635,369110.5123254128,0.9113858410946036,0.5653815680481162,0.7148201409160008,0.8513096244145166
us6000kd0n,2023-05-19 02:57:03.172000+00:00,-23.2063,170.7423,18.053,7.7,southeast of the Loyalty Islands,earthquake,2460083.6229533795,48.18702,19.5302,0.002572694483,19.5302,127.39479746041354,60.12013494218692,0.0025706244938,1.0349946000000332,41.68848,44.92245,29.217976757244912,381717.46007956564,0.8240345925176402,0.7191918197384723,0.40223890424345826,0.8800873814358556
us7000l9h4,2023-11-08 04:53:49.631000+00:00,-6.416,129.5466,6.0,7.1,Banda Sea,earthquake,2460256.704046655,168.48503,8.49859,0.00269729945743,8.49859,47.90147061454565,82.74452667082636,0.00269813131415,-0.4159283600001229,163.09526,165.79829,6.672890777432247,402719.2047646019,0.7017210392027023,0.6969673988327885,0.08154055324792268,0.7295836201319575
