id,time,latitude,longitude,depth,magnitude,place,type,julian_date,moon_ra,moon_dec,moon_distance_au,sublunar_lat,sublunar_lon,angular_distance
us20006uy6,2016-08-29 04:29:57.860000+00:00,-0.0456,-17.8255,10.0,7.1,north of Ascension Island,earthquake,2457629.6874752315,119.03272,16.96131,0.00255294273887,16.96131,73.726917285768,91.49818145848262
us2000brlf,2017-11-19 22:43:29.250000+00:00,-21.3246,168.6715,10.0,7.0,"85 km ENE of Tadine, New Caledonia",earthquake,2458077.4468663195,252.85126,-17.94659,0.00270578237053,-17.94659,-147.16808155795724,41.59876726073858
us1000c2zy,2018-01-10 02:51:33.290000+00:00,17.4825,-83.52,19.0,7.5,"203 km NNE of Barra Patuca, Honduras",earthquake,2458128.619135301,212.80712,-7.77159,0.0026431241542,-7.77159,60.332927135488234,143.49017594507325
us1000i2gt,2018-12-05 04:18:08.420000+00:00,-21.9496,169.4266,10.0,7.5,"166 km ESE of Tadine, New Caledonia",earthquake,2458457.6792641203,226.50313,-12.43964,0.00258679245795,-12.43964,88.04751576359467,77.50904741221188
us70003kyy,2019-05-14 12:58:25.939000+00:00,-4.051,152.5967,10.0,7.6,"48 km NE of Kokopo, Papua New Guinea",earthquake,2458618.040577997,178.41855,5.81189,0.00246778867112,5.81189,111.83110844300307,41.887439168832415
us70004jyv,2019-07-14 09:10:51.523000+00:00,-0.5858,128.034,18.98,7.2,"155 km SSE of Sofifi, Indonesia",earthquake,2458678.8825407755,261.85945,-20.98502,0.00261384795562,-20.98502,-167.80367091772086,65.76018492679783
us60007idc,2020-01-28 19:10:24.918000+00:00,19.4193,-78.756,14.86,7.7,"123 km NNW of Lucea, Jamaica",earthquake,2458877.2988995137,354.14937,-7.96674,0.00270580403608,-7.96674,-60.97139119981961,32.51053905151369
us6000dg77,2021-02-10 13:19:55.530000+00:00,-23.0511,171.6566,10.0,7.7,southeast of the Loyalty Islands,earthquake,2459256.05550382,309.87736,-22.33899,0.00254704445213,-22.33899,-30.941658891982343,129.56330541039043
us6000f65h,2021-08-14 12:29:08.454000+00:00,18.4335,-73.4822,10.0,7.2,"Nippes, Haiti",earthquake,2459441.020236736,215.49354,-11.4245,0.00248304365769,-11.4245,65.06046690925163,139.4237469920351
us6000gc2a,2021-12-14 03:20:23.809000+00:00,-7.6033,122.2274,14.27,7.3,Flores Sea,earthquake,2459562.639164456,26.378,7.73208,0.00267684563515,7.73208,-106.74240405528879,131.49622057213946
us7000gymk,2022-03-31 05:44:01.146000+00:00,-22.586,170.3744,10.0,7.0,southeast of the Loyalty Islands,earthquake,2459669.738902153,359.4843,-4.83733,0.00255658665431,-4.83733,84.89540047146647,83.97817895351898
us7000irfb,2022-11-22 02:03:06.891000+00:00,-9.8198,159.6033,14.0,7.0,"18 km SW of Malango, Solomon Islands",earthquake,2459905.585496424,212.72899,-12.37707,0.00250085048458,-12.37707,120.90395719207515,38.03013993225663
us6000kd0n,2023-05-19 02:57:03.172000+00:00,-23.2063,170.7423,18.053,7.7,southeast of the Loyalty Islands,earthquake,2460083.6229533795,48.18702,19.5302,0.002572694483,19.5302,127.39479746041354,60.120134942186915
us7000l9h4,2023-11-08 04:53:49.631000+00:00,-6.416,129.5466,6.0,7.1,Banda Sea,earthquake,2460256.704046655,168.48503,8.49859,0.00269729945743,8.49859,47.901470614545644,82.74452667082636
